name,review_count,categories,rating,coordinates,price
TP TEA,127,bubbletea,4.0,"37.56343699424468,-122.32380882944777",
Heere Tea,35,"desserts,bubbletea",4.0,"37.565893,-122.32242",$$
Urban Ritual,509,bubbletea,4.0,"37.566537,-122.323725",
Tpumps,342,"bubbletea,juicebars,tea",4.0,"37.5573531403401,-122.274742340384",$
Mints & Honey,783,"venues,coffee,breakfast_brunch",4.5,"37.49613,-122.2477",$$
Mr. Green Bubble,62,"taiwanese,bubbletea,juicebars",3.5,"37.54470507323991,-122.28481421138929",$$
Sunright Tea Studio,29,bubbletea,4.5,"37.580086,-122.346675",
Boba Guys,642,bubbletea,4.0,"37.5027402543983,-122.256980158539",$$
RareTea,122,bubbletea,4.5,"37.53380083,-122.32729233",
Tong Sui,53,"desserts,bubbletea",4.5,"37.4867,-122.23148",
Happy Lemon,209,"tea,juicebars,bubbletea",3.5,"37.559109,-122.267134",$
Teaspoon San Mateo,529,"bubbletea,shavedice,coffee",3.5,"37.564318,-122.3238431",$$
Feng Cha,272,"desserts,coffee,bubbletea",4.5,"37.586297,-122.364326",$$
Yan's Tea,19,"bubbletea,tea,juicebars",4.0,"37.50307,-122.25658",
Tea Hut,89,"bubbletea,juicebars,tea",3.5,"37.50534604764837,-122.25939346001607",$
Tan Cha - San Mateo,84,bubbletea,3.5,"37.56413,-122.32294",$$
Cha Express,424,bubbletea,4.0,"37.5650956481695,-122.322896495461",$
Sharetea Hillsdale,129,"coffee,bubbletea",3.0,"37.5381291954768,-122.30129547614209",$
Sweet Moment,352,"desserts,bubbletea,chinese",4.0,"37.5648129008036,-122.323827428358",$
BAMBU,558,"juicebars,bubbletea,vietnamese",4.0,"37.5665365,-122.3232678",$
Bobabia,473,"bubbletea,venues,juicebars",4.0,"37.5671965,-122.32544233",$
Boba Guys,97,bubbletea,4.0,"37.579644,-122.347529",$$
Mr Green Bubble,99,"bubbletea,coffee,juicebars",3.5,"37.453315,-122.183531",$$
Yifang Taiwan Fruit Tea,107,bubbletea,4.0,"37.566817,-122.324028",$$
Happy Lemon,307,"juicebars,bubbletea",4.0,"37.5773026,-122.3486125",$
Blue Sky Café,379,chinese,4.5,"37.51447,-122.268369",$$
Spill The Tea,69,"coffee,bubbletea,cafes",3.5,"37.483934,-122.23264",
Bobalicious,238,bubbletea,4.5,"37.487118,-122.229624",$$
Tea Juice,41,"bubbletea,juicebars",4.0,"37.499279,-122.252735",
Ya-Ua Yogurt & Boba Tea,110,"icecream,bubbletea,juicebars",3.5,"37.5102232,-122.2938208",$
Quickly,85,"coffee,bubbletea,asianfusion",3.0,"37.544414,-122.270628",$
KingKat Bar & Eatery,201,"asianfusion,bubbletea",4.0,"37.54368,-122.30661",$$
Sharetea,105,"bubbletea,coffee,juicebars",3.5,"37.56634534027399,-122.32264943779249",$
Jolly's Old-Fashioned Teas Cream,11,"icecream,foodtrucks",4.5,"37.57772,-122.34575",
YiFang Fruit Tea,4,"bubbletea,fooddeliveryservices",5.0,"37.4787787,-122.2235299",
Pink Pantherz Espresso,65,"coffee,bubbletea,juicebars",3.0,"37.47092,-122.21366",
Lily's Creperie,334,"juicebars,creperies,bubbletea",4.0,"37.5200605,-122.3375857",$$
Teatime,109,"bubbletea,coffee,tea",4.0,"37.4846042071457,-122.232427139501",$$
Happy Lemon,44,"bubbletea,coffee",4.5,"37.4860015,-122.2289533",$$
Meet Fresh,344,"desserts,bubbletea,shavedice",2.5,"37.56579,-122.3223",$$
Teaspoon,209,"bubbletea,shavedsnow,coffee",3.5,"37.4861601263273,-122.230740152299",$
Tea It Up,129,bubbletea,4.0,"37.452653,-122.181579",$$
Dessert Republic,831,"chinese,desserts,coffee",3.5,"37.5669004,-122.3234145",$
Tpumps - Burlingame,533,"bubbletea,coffee",4.0,"37.5794379623736,-122.34590301239",$
Quickly,164,"bubbletea,juicebars",3.0,"37.4917931901457,-122.224192531477",$
Pho Little Saigon,600,vietnamese,3.0,"37.5445885811679,-122.284968805752",$
